id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA PENDEK,12166,ORANG,2020
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA KURUS,5594,ORANG,2020
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA GIZI KURANG,13728,ORANG,2020
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA PENDEK,22338,ORANG,2020
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA KURUS,6612,ORANG,2020
94,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA GIZI KURANG,9128,ORANG,2020
95,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA PENDEK,13568,ORANG,2020
96,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA KURUS,5668,ORANG,2020
97,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA GIZI KURANG,9275,ORANG,2020
98,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA PENDEK,19068,ORANG,2020
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA KURUS,4616,ORANG,2020
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA GIZI KURANG,4810,ORANG,2020
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA PENDEK,7688,ORANG,2020
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA KURUS,2736,ORANG,2020
103,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA GIZI KURANG,4265,ORANG,2020
104,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA PENDEK,5016,ORANG,2020
105,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA KURUS,2697,ORANG,2020
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA GIZI KURANG,15737,ORANG,2020
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA PENDEK,16530,ORANG,2020
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA KURUS,8890,ORANG,2020
